"id","title","description","original_link","naver_link","press","pub_date","source_type","content_hash","similarity_group_id","duplicate_yn","collected_at"
"38046","인터넷은행 3사, 마이너스통장 한도 제한… ‘빚투’ 대응","증시 호조에 따른 ‘빚투’(빚내서 투자) 급증 대책의 일환이다. 16일 금융 업계에 따르면 카카오뱅크는 오는 22일부터 마이너스통장(신용한도대출) 최대한도를 기존 2억4000만원에서 1억원으로 낮춘다. 또 다음 달부터...","https://biz.chosun.com/stock/finance/2026/06/16/LMQATFN3JVGD7KDFRDY5LAFTNA/?utm_source=naver&utm_medium=original&utm_campaign=biz","https://n.news.naver.com/mnews/article/366/0001172214?sid=101","biz.chosun.com","2026-06-16 15:19:00","NAVER_API","33ba99e9262af721b891a941","22249","Y","2026-06-16 15:20:29"
"38047","[주목 e-금융] 증권사의 디지털 WM, '2강·3중' 체제…""미래에셋vs삼성, ...","주식 거래 수수료는 증시가 좋으면 늘어나고, 나쁘면 곤두박질치는 매우 불안정한 수익인 반면, 고객의 자산(펀드, 연금, 랩어카운트 등)을 증권사 앱에 머물게 하고 관리해 주면, 증시와 무관하게 '안정적인 관리...","http://www.economytalk.kr/news/articleView.html?idxno=421997","http://www.economytalk.kr/news/articleView.html?idxno=421997","economytalk.kr","2026-06-16 15:18:00","NAVER_API","56777fe3ade42181ced99da1","22250","N","2026-06-16 15:20:29"
"38048","“‘237만닉스’까지 갈 줄이야” 상상도 못했다…삼성까지 따라잡을 기...","국내 증시에서 주가 200만원이 넘는 ‘명품주’도 늘고 있다. 효성중공업과 SK하이닉스가 현재 200만원을 웃도는 명품주로 자리 잡은 가운데 두산과 삼성전기 역시 올해 장중 200만원을 돌파했다....","https://biz.heraldcorp.com/article/10772838?ref=naver","https://n.news.naver.com/mnews/article/016/0002657361?sid=101","biz.heraldcorp.com","2026-06-16 15:17:00","NAVER_API","4ebd9951788d8772732b980d","22251","N","2026-06-16 15:20:29"
"38049","지역 지키고 고객 늘리는 새마을금고와 저축은행들","증시로 자금이 쏠리는 '머니무브' 속에서도 예금 고객을 붙잡은 동력이다. 한 저축은행 관계자는 ""비대면 시스템 속에서도 거래 고객이 꾸준히 늘고 있다""며 ""저축은행들은 고객 접근성과 편리성은 물론 보안성과...","https://www.m-i.kr/news/articleView.html?idxno=1381931","https://www.m-i.kr/news/articleView.html?idxno=1381931","m-i.kr","2026-06-16 15:14:00","NAVER_API","2e2f2ca5d5b38dcbda96fd69","22252","N","2026-06-16 15:20:29"
"38050","‘금괴 팔고 기술주 사자’… 안전자산 金, 이란전 개전 후 20% 폭락","15일(현지시각) 미 뉴욕증시는 사상 최고권으로 뛰었지만, 전쟁 초반 안전자산 수요를 빨아들였던 금값은 6개월 만에 최저권으로 밀렸다. 이날 대형주 중심 다우존스산업평균지수는 전날보다 0.9% 오른 5만1671.03으로...","https://biz.chosun.com/international/international_economy/2026/06/16/ZNDNKDWCFNAPVD4JHATMADSOVM/?utm_source=naver&utm_medium=original&utm_campaign=biz","https://n.news.naver.com/mnews/article/366/0001172211?sid=104","biz.chosun.com","2026-06-16 15:11:00","NAVER_API","779d5cdee5e104fb918a223e","22253","N","2026-06-16 15:20:29"
"38051","인터넷은행 3사, 마이너스통장 한도 제한…'빚투' 차단(종합2보)","증시 호조에 따른 '빚투'(빚내서 투자) 급증에 대응하기 위해서다. 16일 금융권에 따르면 카카오뱅크는 오는 22일부터 마이너스통장(신용한도대출) 최대한도를 기존 2억4천만원에서 1억원으로 축소한다. 아울러 다음...","https://www.yna.co.kr/view/AKR20260616031252002?input=1195m","https://n.news.naver.com/mnews/article/001/0016141776?sid=101","yna.co.kr","2026-06-16 15:11:00","NAVER_API","a2ac13611805d6c179db70c8","22249","Y","2026-06-16 15:20:29"
"38052","물류망 정상화 초읽기…해운업계, 엇갈린 생존 셈법","이런 중동발 리스크 해소 기대감이 번지면서 분쟁 발생 이후 아시아 제조업체들을 압박해 온 글로벌 공급망 부담이 일정 부분 완화될 것이란 분석이 나오며 한국과 일본 주요 증시가 일제히 상승하는 등 시장이 반응했다....","https://www.mediapen.com/news/view/1104683","https://www.mediapen.com/news/view/1104683","mediapen.com","2026-06-16 15:10:00","NAVER_API","f8c94dbf73b446230abf41d8","22254","N","2026-06-16 15:20:29"
"38053","'빚투' 차단 나선 인터넷은행…대출 한도 일제 축소","최근 증시 호조에 따른 '빚투(빚내서 투자)' 수요 증가와 신용대출 확대에 대응하기 위한 조치로 풀이된다.... 금융권 관계자는 ""최근 증시 상승으로 신용대출 수요가 늘어나면서 금융권 전반이 가계대출 총량 관리에...","https://www.ebn.co.kr/news/articleView.html?idxno=1712714","https://www.ebn.co.kr/news/articleView.html?idxno=1712714","ebn.co.kr","2026-06-16 15:10:00","NAVER_API","759ef3edde4ed6cb86281065","22249","Y","2026-06-16 15:20:29"
"38054","SK스퀘어, 글로벌 반도체랠리에 신고가…150만원 눈앞","미국 뉴욕증시에서 반도체 업종이 연일 랠리를 이어가며 SK하이닉스 관련 투자 수요가 대거 유입된 영향이다. 김회재 대신증권 연구원은 ""단일 종목 편입 한도 10% 제한 기준에 따라 스퀘어가 하이닉스 투자...","https://www.newsis.com/view/NISX20260616_0003671244","https://n.news.naver.com/mnews/article/003/0014009528?sid=101","newsis.com","2026-06-16 15:09:00","NAVER_API","fe2e86416cc30a84ef406097","22255","Y","2026-06-16 15:20:29"
"38055","""개미가 총알받이냐""…스페이스X 개인 투자자 단타 매도 시 제재","사상 최대 규모로 증시에 데뷔한 스페이스X의 공모주를 배정받은 미국 개인 투자자들 사이에서 불평등한 규정에 대한 불만이 폭발하고 있습니다. 피델리티, 로빈후드 등 미국 주요 투자 플랫폼들은 개인이 공모주 수령...","https://news.jtbc.co.kr/article/NB12303462?influxDiv=NAVER","https://n.news.naver.com/mnews/article/437/0000496423?sid=101","news.jtbc.co.kr","2026-06-16 15:08:00","NAVER_API","2b89189804522195558f55a1","22256","N","2026-06-16 15:20:29"
